Home,Away,Liga,Data,Hora,BTTS Liga,2.5FT Liga,Home Geral,Home Casa,Home Fora,Home PPJ Geral,Home PPJ Casa,Home PPJ Fora,Away Geral,Away Casa,Away Fora,Away PPG Geral,Away PPG Casa,Away PPG Fora,Vitoria Home Geral,Vitoria Home Casa,Vitoria Home Fora,Gols Home Geral,Gols Home Casa,Gols Home Fora,Marcados Home Geral,Marcados Home Casa,Marcados Home Fora,Sofridos Home Geral,Sofridos Home Casa,Sofridos Home Fora,BTTS Home Geral,BTTS Home Casa,BTTS Home Fora,Sem Sofrer Home Geral,Sem Sofrer Home Casa,Sem Sofrer Home Fora,Sem Marcar Home Geral,Sem Marcar Home Casa,Sem Marcar Home Fora,Primeiro Marcar Home Geral,Primeiro Marcar Home Casa,Primeiro Marcar Home Fora,xG Home Geral,xG Home Casa,xG Home Fora,xGA Home Geral,xGA Home Casa,xGA Home Fora,Vitoria Away Geral,Vitoria Away Casa,Vitoria Away Fora,Gols Away Geral,Gols Away Casa,Gols Away Fora,Marcados Away Geral,Marcados Away Casa,Marcados Away Fora,Sofridos Away Geral,Sofridos Away Casa,Sofridos Away Fora,BTTS Away Geral,BTTS Away Casa,BTTS Away Fora,Sem Sofrer Away Geral,Sem Sofrer Away Casa,Sem Sofrer Away Fora,Sem Marcar Away Geral,Sem Marcar Away Casa,Sem Marcar Away Fora,Primeiro Marcar Away Geral,Primeiro Marcar Away Casa,Primeiro Marcar Away Fora,xG Away Geral,xG Away Casa,xG Away Fora,xGA Away Geral,xGA Away Casa,xGA Away Fora
Vizela U23,Leixões U23,Portugal -  Revelação Sub23,"Ter, 13 Agosto 2024",12:00,43%,43%,,,,0,0,0,D,D,,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,1,1,0,0,0,0,1,0,0,0%,0%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,0.24,1.24,0,0.57,1.57,0
Mafra U23,Sporting CP U23,Portugal -  Revelação Sub23,"Ter, 13 Agosto 2024",12:00,43%,43%,D,,D,0,0,0,E,E,,1,1,0,0%,0%,0%,4,0,4,0,0,0,4,0,4,0%,0%,0%,0%,0%,0%,100%,0%,100%,0%,0%,0%,-0.27,0,0.73,0.66,0,1.66,0%,0%,0%,2,2,0,1,1,0,1,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.18,2.18,0,0.36,1.36,0
Al Gharafa,Shabab Al Ahli Dubai,Ásia -  dos Campeões Asiática,"Ter, 13 Agosto 2024",12:30,100%,100%,,,,0,0,0,V,,V,3,0,3,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,100%,0%,100%,5,0,5,4,0,4,1,1,1,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
SJK Akatemia,KäPa,Finland - Ykkösliiga,"Ter, 13 Agosto 2024",12:30,52%,55%,V V D V D,V V D D E,V D D E E,1.17,1.44,0.89,D D D V E,D D E D D,D V E E D,0.67,0.78,0.56,28%,44%,11%,2.39,2.44,2.33,1.11,1.33,0.89,1.28,1.11,1.44,50%,22%,78%,28%,44%,11%,33%,44%,22%,39%,44%,33%,1.58,1.64,1.53,1.3,1.32,1.28,11%,11%,11%,3.56,3.22,3.89,1.33,1.22,1.44,2.22,2.44,2.44,61%,56%,67%,11%,22%,0%,33%,33%,33%,33%,22%,44%,1.39,1.46,1.31,1.99,1.89,2.1
Benfica U23,Estoril U23,Portugal -  Revelação Sub23,"Ter, 13 Agosto 2024",13:00,43%,43%,D,,D,0,0,0,V,V,,3,3,0,0%,0%,0%,1,0,1,0,0,0,1,0,1,0%,0%,0%,0%,0%,0%,100%,0%,100%,0%,0%,0%,0.55,0,1.55,0.31,0,1.31,100%,100%,0%,4,4,0,4,4,0,0,0,0,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,0.66,1.66,0,-0.27,0.73,0
Paide,Häcken,Europa -  de Conferência,"Ter, 13 Agosto 2024",13:30,44%,51%,D V D E V,V E,D D V,1.4,2,1,V V V,V V,V,3,3,3,40%,50%,33%,3.8,3,4.33,1.8,2.5,1.33,2,0.5,3,80%,50%,100%,20%,50%,0%,0%,0%,0%,40%,50%,33%,1.42,1.94,1.08,1.78,1.39,2.05,100%,100%,100%,7.33,7,8,6,6,6,1.33,2,2,100%,100%,100%,0%,0%,0%,0%,0%,0%,67%,50%,100%,2.38,2.58,2,1.24,0.85,2.03
Twente,Salzburg,Europa -  dos Campeões,"Ter, 13 Agosto 2024",14:00,47%,56%,D,,D,0,0,0,V,V,,3,3,0,0%,0%,0%,3,0,3,1,0,1,2,0,2,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-0.22,0,0.78,0.75,0,1.75,100%,100%,0%,3,3,0,2,2,0,1,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,0.75,1.75,0,-0.22,0.78,0
APOEL,Slovan Bratislava,Europa -  dos Campeões,"Ter, 13 Agosto 2024",14:00,47%,56%,D E V,V,D E,1.33,3,0.5,V V E V V,V V V,E V,2.6,3,2,33%,100%,0%,1.67,1,2,0.67,1,0.5,1,0,1.5,33%,0%,50%,33%,100%,0%,33%,0%,50%,33%,100%,0%,1.34,1.08,1.47,1.43,1.43,1.43,80%,100%,50%,3.6,4.33,2.5,2.8,3.67,1.5,0.8,1,1,60%,33%,100%,40%,67%,0%,0%,0%,0%,80%,100%,50%,1.52,1.81,1.09,1.61,1.1,2.38
Fenerbahce,Lille,Europa -  dos Campeões,"Ter, 13 Agosto 2024",14:00,47%,56%,D V V,V,D V,2,3,1.5,V,V,,3,3,0,67%,100%,50%,4.33,3,5,2.33,2,2.5,2,1,2.5,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.42,1.49,1.39,1.38,1.23,1.46,100%,100%,0%,3,3,0,2,2,0,1,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,0.58,1.58,0,0.2,1.2,0
Bodo/Glimt,Jagiellonia Białystok,Europa -  dos Campeões,"Ter, 13 Agosto 2024",14:00,47%,56%,V V V,V,V V,3,3,3,D V V,D V,V,2,1.5,3,100%,100%,100%,3,4,2.5,2.67,4,2,0.33,0,0.5,33%,0%,50%,67%,100%,50%,0%,0%,0%,67%,100%,50%,1.58,2.18,1.27,0.93,0.75,1.03,67%,50%,100%,3,2.5,4,2.33,1.5,4,0.67,0,0,33%,50%,0%,33%,0%,100%,33%,50%,0%,67%,50%,100%,1.86,2.01,1.57,1.2,1.36,0.87
Helsingborg,Degerfors,Suécia - 2ª Divisão da Suécia,"Ter, 13 Agosto 2024",14:00,53%,48%,V V V V D,V V V D D,V V D V E,1.71,1.44,2,E V D V E,E V V V E,D E V V D,1.76,2.22,1.25,47%,33%,63%,2.35,1.89,2.88,1.35,1,1.75,1,0.89,1.13,41%,44%,38%,41%,33%,50%,29%,33%,25%,53%,56%,50%,1.5,1.55,1.44,1.46,1.44,1.48,47%,67%,25%,2.94,3.44,2.38,1.82,2.33,1.25,1.12,1.13,1.13,76%,78%,75%,24%,22%,25%,0%,0%,0%,59%,67%,50%,1.72,2.16,1.29,1.36,1.47,1.25
PAOK,Malmö FF,Europa -  dos Campeões,"Ter, 13 Agosto 2024",14:30,47%,56%,E V V,V,E V,2.33,3,2,E D V,E V,D,1.33,2,0,67%,100%,50%,3.33,5,2.5,2,3,1.5,1.33,2,1,67%,100%,50%,33%,0%,50%,0%,0%,0%,67%,100%,50%,1.25,1.85,0.95,1.22,1.04,1.3,33%,50%,0%,4.67,4.5,5,2.67,3,2,2,3,3,100%,100%,100%,0%,0%,0%,0%,0%,0%,67%,100%,0%,1.72,1.82,1.54,0.97,0.81,1.29
The New Saints,Petrocub,Europa -  Europa,"Ter, 13 Agosto 2024",14:30,40%,47%,D,,D,0,0,0,V,V,,3,3,0,0%,0%,0%,1,0,1,0,0,0,1,0,1,0%,0%,0%,0%,0%,0%,100%,0%,100%,0%,0%,0%,0.15,0,1.15,0.45,0,1.45,100%,100%,0%,1,1,0,1,1,0,0,0,0,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,0.45,1.45,0,0.15,1.15,0
Torreense U23,Famalicão U23,Portugal -  Revelação Sub23,"Ter, 13 Agosto 2024",14:30,43%,43%,D,,D,0,0,0,,,,0,0,0,0%,0%,0%,3,0,3,1,0,1,2,0,2,100%,0%,100%,0%,0%,0%,0%,0%,0%,100%,0%,100%,0.54,0,1.54,0.53,0,1.53,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
El Gounah,Baladeyet Al-Mahalla,Egito - Campeonato Egípcio,"Ter, 13 Agosto 2024",15:00,50%,44%,D E E D D,E D E E D,D E D D D,1.03,1.13,0.94,V D E D D,V D E D V,D E D D D,0.84,1.06,0.63,22%,25%,19%,2.25,2.19,2.31,0.91,0.94,0.88,1.34,1.25,1.44,53%,50%,56%,22%,31%,13%,38%,38%,38%,38%,38%,38%,1.29,1.29,1.29,1.5,1.54,1.47,22%,31%,13%,2.78,2.81,2.75,0.88,1.13,0.63,1.91,2.13,2.13,31%,38%,25%,25%,25%,25%,53%,44%,63%,34%,50%,19%,1.18,1.22,1.14,1.54,1.64,1.44
Ismaily SC,Al Mokawloon,Egito - Campeonato Egípcio,"Ter, 13 Agosto 2024",15:00,50%,44%,D E D D D,E D E D V,D D D V E,1,1.19,0.81,D E V E D,E V D D V,D E E D D,0.78,0.69,0.88,22%,31%,13%,2.25,2.38,2.13,1,1.13,0.88,1.25,1.25,1.25,59%,63%,56%,19%,13%,25%,31%,31%,31%,44%,44%,44%,1.42,1.4,1.43,1.28,1.29,1.27,16%,13%,19%,2.69,2.38,3,0.97,0.88,1.06,1.72,1.94,1.94,63%,56%,69%,6%,6%,6%,34%,44%,25%,31%,25%,38%,1.15,1.18,1.11,1.43,1.32,1.52
National Bank of Egypt,Pharco,Egito - Campeonato Egípcio,"Ter, 13 Agosto 2024",15:00,50%,44%,D E D V V,E D V E V,D V V E D,1.06,1.13,1,E E V E D,E V E V D,E D D E E,0.97,1.13,0.81,28%,31%,25%,2.84,3.31,2.38,1.44,1.69,1.19,1.41,1.63,1.19,56%,63%,50%,22%,19%,25%,28%,25%,31%,44%,50%,38%,1.43,1.47,1.38,1.39,1.38,1.4,19%,25%,13%,2.34,2.31,2.38,1,1.06,0.94,1.34,1.44,1.44,66%,63%,69%,16%,19%,13%,22%,19%,25%,34%,44%,25%,1.28,1.3,1.25,1.41,1.45,1.38
Yupanqui,Deportivo Muñiz,Argentina - Primera C,"Ter, 13 Agosto 2024",15:00,45%,38%,D D V D D,D D D D E,D V D V D,1.13,1.27,1,V V E D V,V E V V V,V D D D V,1.37,1.67,1.07,30%,33%,27%,2,2.2,1.8,0.9,1.07,0.73,1.1,1.13,1.07,33%,40%,27%,43%,47%,40%,37%,27%,47%,43%,53%,33%,1.37,1.42,1.31,1.55,1.62,1.48,40%,53%,27%,2.93,2.93,2.93,1.4,1.67,1.13,1.53,1.8,1.8,53%,73%,33%,23%,20%,27%,27%,7%,47%,47%,60%,33%,1.48,1.65,1.32,1.54,1.51,1.57
Ferencváros,Midtjylland,Europa -  dos Campeões,"Ter, 13 Agosto 2024",15:00,47%,56%,D V V,V,D V,2,3,1.5,V V V,V V,V,3,3,3,67%,100%,50%,3.33,5,2.5,2.33,5,1,1,0,1.5,33%,0%,50%,33%,100%,0%,33%,0%,50%,67%,100%,50%,1.34,1.65,1.18,1.02,0.69,1.19,100%,100%,100%,2,1.5,3,2,1.5,3,0,0,0,0%,0%,0%,100%,100%,100%,0%,0%,0%,100%,100%,100%,1.76,1.57,2.14,1.26,1.25,1.31
União Suzano,Portuguesa,Brasil - Copa Paulista,"Ter, 13 Agosto 2024",15:00,44%,32%,D D D E D,D D E E,D D D E,0.38,0.5,0.25,E D E V V,E E V E,D V V E,1.63,1.5,1.75,0%,0%,0%,2.88,2.75,3,0.75,1,0.5,2.13,1.75,2.5,63%,75%,50%,13%,0%,25%,38%,25%,50%,25%,50%,0%,1.32,1.4,1.26,1.98,2.22,1.8,38%,25%,50%,1.88,1.75,2,1.25,1.25,1.25,0.63,0.75,0.75,50%,50%,50%,50%,50%,50%,25%,50%,0%,63%,50%,75%,1.43,1.52,1.35,1.18,1.21,1.16
Ludogorets,Qarabağ,Europa -  dos Campeões,"Ter, 13 Agosto 2024",15:00,47%,56%,V D V D V,V V,V D D,1.8,3,1,D V V,D V,V,2,1.5,3,60%,100%,33%,2.2,3,1.67,1.4,2.5,0.67,0.8,0.5,1,40%,50%,33%,20%,50%,0%,40%,0%,67%,60%,100%,33%,1.45,1.37,1.51,1.59,1.18,1.86,67%,50%,100%,3.33,4,2,2.67,3,2,0.67,0,0,33%,50%,0%,67%,50%,100%,0%,0%,0%,67%,50%,100%,2.52,2.8,1.96,0.99,1.13,0.71
São José-SP Feminino,São Paulo Feminino,Brasil - Campeonato Paulista Feminino,"Ter, 13 Agosto 2024",15:00,57%,70%,D V D D V,V D E,D D V V,1.43,1.33,1.5,V E D V V,V D V E,E V V,2,1.75,2.33,43%,33%,50%,3,2.67,3.25,1.29,1.33,1.25,1.71,1.33,2,43%,33%,50%,29%,33%,25%,43%,67%,25%,43%,33%,50%,1.57,1.56,1.59,2.12,1.99,2.22,57%,50%,67%,4,4.5,3.33,2.86,3.25,2.33,1.14,1,1,86%,100%,67%,14%,0%,33%,0%,0%,0%,71%,75%,67%,1.81,1.95,1.67,1.29,1.32,1.25
Argentino Rosario,Lugano,Argentina - Primera C,"Ter, 13 Agosto 2024",15:00,45%,38%,D E E V D,E V D V V,D E D D E,1.57,1.8,1.33,E E D D E,E D E D D,E D D E E,0.6,0.67,0.53,40%,47%,33%,2.5,2.47,2.53,1.53,1.67,1.4,0.97,0.8,1.13,53%,60%,47%,37%,27%,47%,20%,20%,20%,60%,60%,60%,1.54,1.72,1.35,1.39,1.33,1.44,10%,13%,7%,2.1,1.93,2.27,0.6,0.53,0.67,1.5,1.6,1.6,47%,40%,53%,20%,27%,13%,47%,53%,40%,23%,33%,13%,1.24,1.23,1.26,1.4,1.31,1.49
Lanús Res.,Sarmiento Res.,Argentina -  de Reservas,"Ter, 13 Agosto 2024",15:00,43%,38%,V D E E V,V E V V E,D E D V D,1.9,2.25,1.44,E E D E D,E D D D D,E E E D V,0.53,0.22,0.88,57%,67%,44%,3.14,3.08,3.22,1.86,2,1.67,1.29,1.08,1.56,76%,83%,67%,19%,17%,22%,10%,0%,22%,71%,92%,44%,1.62,1.61,1.63,1.38,1.19,1.65,6%,0%,13%,1.71,1.89,1.5,0.47,0.33,0.63,1.24,0.88,0.88,35%,33%,38%,24%,11%,38%,59%,67%,50%,35%,22%,50%,1.2,1.24,1.17,1.48,1.46,1.51
Vélez Sársfield Res.,Atlético Tucumán Res.,Argentina -  de Reservas,"Ter, 13 Agosto 2024",15:00,43%,38%,V D D E V,D E V V V,V D V V D,2.05,2.25,1.78,D D D V E,D D V D E,D E D V D,0.76,0.67,0.88,62%,67%,56%,2.62,2.25,3.11,2.05,2,2.11,0.57,0.25,1,33%,17%,56%,57%,75%,33%,19%,25%,11%,67%,67%,67%,1.6,1.71,1.46,1.13,1.06,1.23,18%,11%,25%,2.29,2.67,1.88,0.71,1,0.38,1.59,1.5,1.5,35%,56%,13%,29%,22%,38%,47%,33%,63%,24%,22%,25%,1.21,1.08,1.35,1.32,1.2,1.43
Real Pilar,Puerto Nuevo,Argentina - Primera C,"Ter, 13 Agosto 2024",15:00,45%,38%,E V E E E,V E V D E,E E E E E,1.43,1.6,1.27,V D E D V,V E V E E,D D D D V,1.03,1.13,0.93,30%,40%,20%,2.37,2.2,2.53,1.37,1.33,1.4,1,0.87,1.13,57%,53%,60%,33%,40%,27%,23%,20%,27%,37%,47%,27%,1.6,1.69,1.49,1.29,1.24,1.35,23%,27%,20%,2.43,1.93,2.93,1.07,0.87,1.27,1.37,1.67,1.67,50%,33%,67%,23%,40%,7%,37%,47%,27%,37%,33%,40%,1.38,1.36,1.41,1.36,1.26,1.45
JJ Urquiza,Mercedes,Argentina - Primera C,"Ter, 13 Agosto 2024",15:00,45%,38%,D E D E V,E E V D V,D D V V D,1.6,1.6,1.6,V D E E V,V E V V E,D E D D V,1.17,1.67,0.67,47%,47%,47%,2.17,1.73,2.6,1.37,1.13,1.6,0.8,0.6,1,40%,27%,53%,33%,40%,27%,37%,47%,27%,43%,47%,40%,1.3,1.26,1.35,1.36,1.33,1.38,27%,40%,13%,1.83,2.2,1.47,0.73,1.13,0.33,1.1,1.13,1.13,37%,53%,20%,33%,40%,27%,43%,20%,67%,40%,67%,13%,1.16,1.2,1.12,1.38,1.23,1.54
Berazategui,General Lamadrid,Argentina - Primera C,"Ter, 13 Agosto 2024",15:00,45%,38%,E V V E V,V E D E V,E V V V E,2.07,1.86,2.27,V E V E V,V V V V V,E E D E E,2,2.33,1.67,59%,50%,67%,2.66,2.71,2.6,1.69,1.71,1.67,0.97,1,0.93,62%,64%,60%,34%,29%,40%,10%,14%,7%,55%,64%,47%,1.5,1.63,1.38,1.15,1.1,1.19,57%,73%,40%,2.07,2.4,1.73,1.43,1.73,1.13,0.63,0.6,0.6,33%,47%,20%,60%,53%,67%,23%,0%,47%,60%,87%,33%,1.41,1.44,1.38,1.15,1.16,1.14
Sportivo Barracas,Ituzaingó,Argentina - Primera C,"Ter, 13 Agosto 2024",15:00,45%,38%,D D E V D,D V E V E,D E D E D,0.93,1,0.87,E V V E E,E V E V V,V E V D E,1.5,1.27,1.73,21%,21%,20%,2.24,2.43,2.07,0.86,0.93,0.8,1.38,1.5,1.27,48%,57%,40%,28%,29%,27%,34%,21%,47%,34%,50%,20%,1.28,1.3,1.26,1.38,1.4,1.36,37%,27%,47%,1.67,1.4,1.93,0.97,0.67,1.27,0.7,0.67,0.67,30%,27%,33%,53%,53%,53%,40%,47%,33%,43%,40%,47%,1.36,1.4,1.33,1.37,1.23,1.51
Luján,El Porvenir,Argentina - Primera C,"Ter, 13 Agosto 2024",15:00,45%,38%,V D V D V,D D V D V,V V V V D,1.55,1.64,1.47,V D D E V,V D V E E,D E D D D,1.23,1.53,0.93,45%,43%,47%,2.17,1.93,2.4,1.14,1.07,1.2,1.03,0.86,1.2,55%,57%,53%,28%,29%,27%,31%,36%,27%,41%,43%,40%,1.36,1.47,1.26,1.29,1.16,1.41,33%,40%,27%,2.17,1.67,2.67,1.03,1,1.07,1.13,1.6,1.6,40%,27%,53%,37%,53%,20%,40%,40%,40%,40%,47%,33%,1.43,1.56,1.32,1.37,1.22,1.51
Centro Español,Leandro Nicéforo Alem,Argentina - Primera C,"Ter, 13 Agosto 2024",15:00,45%,38%,D V V V D,V V E V E,D V D D D,1.33,2,0.67,V V E E V,V E V V D,V E E D E,1.48,1.6,1.36,40%,60%,20%,2.3,2.2,2.4,1.2,1.47,0.93,1.1,0.73,1.47,47%,40%,53%,27%,53%,0%,33%,20%,47%,50%,60%,40%,1.17,1.28,1.05,1.22,1.24,1.21,38%,47%,29%,2.41,2.6,2.21,1.24,1.4,1.07,1.17,1.14,1.14,48%,33%,64%,31%,33%,29%,28%,33%,21%,55%,47%,64%,1.36,1.44,1.28,1.48,1.25,1.72
Deportivo Paraguayo,Central Córdoba,Argentina - Primera C,"Ter, 13 Agosto 2024",15:00,45%,38%,D D D E D,D E D E D,D D D V D,0.7,0.53,0.87,E E E D V,E E V E V,E D E E D,1.63,2,1.27,17%,7%,27%,1.87,1.73,2,0.5,0.33,0.67,1.37,1.4,1.33,30%,20%,40%,20%,20%,20%,57%,73%,40%,20%,20%,20%,1.23,1.32,1.14,1.62,1.53,1.71,40%,60%,20%,1.97,2.27,1.67,1.17,1.47,0.87,0.8,0.8,0.8,43%,33%,53%,43%,53%,33%,27%,20%,33%,57%,73%,40%,1.35,1.63,1.09,1.45,1.54,1.37
Deportivo Español,Central Ballester,Argentina - Primera C,"Ter, 13 Agosto 2024",15:00,45%,38%,V E V V D,E V V V E,V V D D E,1.67,2.13,1.2,V E D E V,V D V E V,E E E E D,1.34,1.4,1.29,40%,60%,20%,1.97,2.6,1.33,1.2,1.73,0.67,0.77,0.87,0.67,47%,60%,33%,47%,40%,53%,33%,13%,53%,50%,67%,33%,1.36,1.27,1.44,1.19,1.01,1.37,31%,33%,29%,1.76,1.8,1.71,0.83,0.87,0.79,0.93,0.93,0.93,34%,40%,29%,48%,47%,50%,45%,40%,50%,34%,33%,36%,1.18,1,1.38,1.31,1.28,1.35
Atlas,Claypole,Argentina - Primera C,"Ter, 13 Agosto 2024",15:00,45%,38%,V E E V D,E V V E V,V E D D V,1.57,1.8,1.33,D D D E E,D D E V D,D E V D V,1.38,1.6,1.14,43%,47%,40%,2.8,2.67,2.93,1.5,1.67,1.33,1.3,1,1.6,57%,53%,60%,30%,33%,27%,17%,13%,20%,60%,67%,53%,1.37,1.47,1.27,1.52,1.4,1.65,38%,47%,29%,2.21,2.33,2.07,1.07,1.27,0.86,1.14,1.21,1.21,45%,40%,50%,34%,33%,36%,38%,40%,36%,34%,33%,36%,1.45,1.56,1.33,1.21,1.14,1.29
