home,away,liga,btts,over 2.5,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
FK,Baltika,Rússia - 2ª Divisão da Rússia,23%,31%,D,,D,E,,E,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,100,0,100,0,0,0,-0.15,0,0.85,-0.14,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,-0.1,0.9,0.9,-0.29,0.71,0.71
FK,Chayka,Rússia - 2ª Divisão da Rússia,23%,31%,D,,D,E,E,,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,100,0,100,0,0,0,-0.46,0,0.54,0.24,0,1.24,0,0,0,2,0,0,1,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0,-0.22,0,0
Novi,Spartak,Sérvia - Campeonato Sérvio,40%,60%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Bačka,IMT,Sérvia - Campeonato Sérvio,40%,60%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Tekstilac,Vojvodina,Sérvia - Campeonato Sérvio,40%,60%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Norrköping,Halmstad,Suécia - Campeonato Sueco,53%,64%,D D D D D,D D D V V,D D D E D,D D V D D,D V V D V,D D D D V,0.79,1,0.63,1.29,1.71,0.86,21,33,13,3.86,4,3.75,1.21,1.33,1.13,2.64,2.67,2.63,79,67,88,7,17,0,14,17,13,29,17,38,1.23,1.29,1.18,1.7,1.53,1.82,43,29,29,3.21,3.57,3.57,1.36,1,1,1.86,2.57,2.57,43,43,43,29,14,14,29,43,43,43,29,29,0.96,0.93,0.93,1.87,1.88,1.88
IFK,Västerås,Suécia - Campeonato Sueco,53%,64%,V D V D V,V V D D E,V D D E D,V D V E E,V D E D D,V E D D D,1.21,1.17,1.25,0.79,0.88,0.67,36,33,38,2.5,2.17,2.75,1,0.67,1.25,1.5,1.5,1.5,36,33,38,36,33,38,29,33,25,43,33,50,1.49,1.19,1.72,1.5,1.54,1.47,21,17,17,2,1.83,1.83,0.79,0.83,0.83,1.21,1,1,36,17,17,14,33,33,57,67,67,29,17,17,1.68,1.63,1.63,1.4,1.6,1.6
Elfsborg,Mjällby,Suécia - Campeonato Sueco,53%,64%,V V D D V,V V V V V,V D D D D,V V V V D,V V V D V,V D V D D,1.47,2.29,0.75,1.93,2.22,1.5,47,71,25,3.47,3.57,3.38,1.93,2.71,1.25,1.53,0.86,2.13,53,57,50,27,43,13,20,0,38,60,86,38,1.51,1.74,1.32,1.4,1.22,1.56,60,50,50,3,2.5,2.5,1.8,1.33,1.33,1.2,1.17,1.17,73,67,67,20,17,17,7,17,17,67,67,67,1.31,1.24,1.24,1.31,1.47,1.47
Östersunds,Degerfors,Suécia - 2ª Divisão da Suécia,54%,47%,D V E D V,V D V E E,D E V D D,V E V V E,V V E V D,E V V D E,1.14,1.83,0.63,1.86,2.29,1.43,29,50,13,2.43,2.5,2.38,1.07,1.33,0.88,1.36,1.17,1.5,50,50,50,21,33,13,36,17,50,43,67,25,1.61,1.65,1.58,1.37,1.16,1.51,50,29,29,2.93,2.29,2.29,1.86,1.29,1.29,1.07,1,1,79,71,71,21,29,29,0,0,0,57,57,57,1.54,1.25,1.25,1.39,1.25,1.25
Sandviken,Utsikten,Suécia - 2ª Divisão da Suécia,54%,47%,D V V V V,V V V D V,D V V E E,D D D D V,D D V E V,D D V E D,1.71,2.5,1.13,1.36,1.57,1.14,50,83,25,2.64,2.5,2.75,1.43,1.83,1.13,1.21,0.67,1.63,43,50,38,36,33,38,29,17,38,50,67,38,1.44,1.45,1.43,1.47,1.47,1.47,36,29,29,2.21,2.29,2.29,1.14,1,1,1.07,1.29,1.29,50,57,57,29,14,14,29,29,29,50,43,43,1.44,1.37,1.37,1.6,1.67,1.67
Skövde,Brage,Suécia - 2ª Divisão da Suécia,54%,47%,D D D E D,D D D V E,D E V D D,E V D V D,E V V D V,D D E V D,1.07,1.14,1,1.57,2,1.14,29,29,29,2,1.29,2.71,0.64,0.43,0.86,1.36,0.86,1.86,29,14,43,43,57,29,43,57,29,43,43,43,1.02,0.88,1.16,1.83,1.83,1.83,43,29,29,2.14,1.86,1.86,1.29,0.86,0.86,0.86,1,1,50,57,57,29,14,14,21,29,29,50,43,43,1.55,1.52,1.52,1.44,1.69,1.69
Young,Sion,Suíça - Campeonato Suíço,33%,33%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Lausanne,Basel,Suíça - Campeonato Suíço,33%,33%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Luzern,Servette,Suíça - Campeonato Suíço,33%,33%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Vaduz,Stade,Suíça - 2ª Divisão da Suíça,100%,100%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Liverpool,Cerro,Uruguai - Campeonato Uruguaio,55%,49%,D D V D D,V D D D V,D D D D V,D D E D V,D E V V V,D D V D D,1.05,1.08,1,1.05,1.45,0.56,25,25,25,2.85,2.5,3.38,1.3,1.08,1.63,1.55,1.42,1.75,80,75,88,5,8,0,15,17,13,40,42,38,1.52,1.47,1.59,1.32,1.2,1.5,25,11,11,2.55,2.78,2.78,1.1,0.67,0.67,1.45,2.11,2.11,35,22,22,30,11,11,45,67,67,35,22,22,0.99,0.87,0.87,1.44,1.48,1.48
Progreso,Deportivo,Uruguai - Campeonato Uruguaio,55%,49%,D V D E V,V D V D D,D E D D D,E E D E D,E D D D D,E E E V E,1.55,2.1,1,0.9,0.64,1.22,45,70,20,3.3,3.5,3.1,1.6,1.9,1.3,1.7,1.6,1.8,65,60,70,15,20,10,25,20,30,40,30,50,1.45,1.56,1.33,1.51,1.63,1.37,20,22,22,2.25,2.22,2.22,0.9,1,1,1.35,1.22,1.22,60,78,78,20,22,22,25,11,11,35,33,33,1.15,1.18,1.18,1.46,1.66,1.66
Peñarol,Fénix,Uruguai - Campeonato Uruguaio,55%,49%,V E V E D,E E V V V,V V D V V,D V V V D,D V V D V,V D V V D,2.45,2.33,2.55,1.1,0.91,1.33,75,67,82,2.5,2.11,2.82,1.9,1.78,2,0.6,0.33,0.82,45,33,55,50,67,36,10,11,9,70,67,73,1.46,1.42,1.49,0.96,0.82,1.08,30,33,33,2.15,2,2,1,1.11,1.11,1.15,0.89,0.89,50,44,44,30,33,33,35,44,44,45,56,56,1.34,1.3,1.3,1.43,1.32,1.32
Boston,Danubio,Uruguai - Campeonato Uruguaio,55%,49%,V V D D E,V V D D V,D E V V D,D V E V E,D V E D E,V E E D D,1.7,1.5,1.9,1.1,0.88,1.25,50,40,60,2.4,2.7,2.1,1.3,1.4,1.2,1.1,1.3,0.9,55,60,50,25,30,20,25,20,30,45,30,60,1.33,1.48,1.18,1.33,1.37,1.29,25,33,33,2.45,2.5,2.5,1,1.17,1.17,1.45,1.33,1.33,45,42,42,15,17,17,50,58,58,40,33,33,1.19,1.31,1.31,1.28,1.36,1.36
Albion,Rentistas,Uruguay - 2ª Divisão do Uruguai,42%,30%,V D V E D,D E V E V,V V D E D,V E E D V,V E V E D,E D E V E,1.53,1.63,1.44,1.31,1.56,1,41,38,44,1.88,1.5,2.22,1.12,1,1.22,0.76,0.5,1,35,38,33,53,63,44,24,25,22,41,38,44,1.22,1.29,1.16,1.24,1.34,1.16,31,14,14,1.75,2,2,0.88,0.86,0.86,0.88,1.14,1.14,44,57,57,25,14,14,31,29,29,50,43,43,1.23,1.25,1.25,1.27,1.27,1.27
Sud,La,Uruguay - 2ª Divisão do Uruguai,42%,30%,E E E D D,E D E V V,E E D V D,E V E D V,E V D V V,E V D D D,1,1.38,0.67,1.18,1.44,0.88,24,38,11,1.88,2,1.78,0.65,0.88,0.44,1.24,1.13,1.33,29,50,11,29,25,33,53,25,78,29,50,11,1.08,1.14,1.03,1.36,1.41,1.31,35,25,25,1.82,1.38,1.38,0.94,0.5,0.5,0.88,0.88,0.88,29,25,25,29,25,25,41,50,50,53,38,38,1.42,1.57,1.57,1.38,1.53,1.53
Caracas,Rayo,Venezuela - Campeonato Venezuelano,54%,45%,E D E E D,E D D E D,E D E E D,V D E E E,E E D D D,V D E D D,0.93,0.83,1,0.71,0.83,0.63,14,17,13,1.64,1.83,1.5,0.71,0.83,0.63,0.93,1,0.88,36,33,38,36,33,38,50,50,50,29,17,38,1.5,1.7,1.38,1.34,1.25,1.39,14,13,13,3,2.88,2.88,1.29,1.13,1.13,1.71,1.75,1.75,79,88,88,0,0,0,21,13,13,50,50,50,1.36,1.22,1.22,1.46,1.67,1.67
Deportivo,Zamora,Venezuela - Campeonato Venezuelano,54%,45%,E D V D V,V V V D V,E D D E D,V D D D D,V D D E E,D D D D E,1.43,2.5,0.63,0.57,1,0.14,36,83,0,1.79,2.33,1.38,1,1.83,0.38,0.79,0.5,1,36,33,38,36,50,25,43,17,63,57,83,38,1.29,1.38,1.23,1.21,1.15,1.25,7,0,0,2.36,3,3,0.79,0.86,0.86,1.57,2.14,2.14,57,71,71,21,0,0,36,29,29,36,43,43,1.42,1.33,1.33,1.43,1.63,1.63
CAPS,Herentals,Zimbábue - Campeonato do Zimbábue,42%,27%,E D V E D,V D E V V,E D E E V,V E E E E,E E V V V,V E E E E,1.35,1.56,1.13,1.39,1.33,1.44,35,44,25,2.18,2.44,1.88,1.24,1.56,0.88,0.94,0.89,1,47,56,38,29,22,38,29,22,38,35,33,38,1.05,1.26,0.95,1.06,1.24,0.97,28,22,22,1.67,1.11,1.11,0.89,0.67,0.67,0.78,0.44,0.44,50,44,44,39,56,56,33,44,44,17,11,11,1.68,1.77,1.77,2.01,1.62,1.62
Manica,TelOne,Zimbábue - Campeonato do Zimbábue,42%,27%,D E E E V,E V V V V,D E E E V,E E V E D,E E E E D,V D D E E,1.78,2.22,1.33,1,0.89,1.11,50,67,33,1.56,1.33,1.78,0.94,1,0.89,0.61,0.33,0.89,28,11,44,61,89,33,28,22,33,56,67,44,0.49,0,0.99,0.54,0,1.04,17,22,22,2.39,2.22,2.22,1.06,1,1,1.33,1.22,1.22,72,67,67,6,11,11,22,22,22,44,56,56,0.84,0.6,0.6,0.63,0.44,0.44
Highlanders,Bulawayo,Zimbábue - Campeonato do Zimbábue,42%,27%,V D V E E,V E E D V,V D E E E,V E E D E,V E D E E,E E D D E,1.61,1.89,1.33,1.28,1.78,0.78,39,56,22,1.94,2.11,1.78,1.17,1.33,1,0.78,0.78,0.78,44,44,44,44,44,44,22,11,33,56,78,33,1.41,1.46,1.29,1.08,1.03,1.24,28,11,11,1.44,1.33,1.33,0.72,0.44,0.44,0.72,0.89,0.89,33,22,22,44,44,44,50,67,67,39,33,33,1.13,1.04,1.04,1.18,1.14,1.14
Hwange,Dynamos,Zimbábue - Campeonato do Zimbábue,42%,27%,E E D V D,E V E E E,E D D D D,D V E E D,D V E V E,E D E E D,0.72,1.22,0.22,1.24,1.56,0.88,11,22,0,1.89,1.44,2.33,0.61,0.67,0.56,1.28,0.78,1.78,39,33,44,22,44,0,50,44,56,22,33,11,0.05,0,0.55,0.59,0,1.09,24,13,13,1.59,1,1,0.76,0.38,0.38,0.82,0.63,0.63,41,25,25,41,50,50,41,63,63,41,13,13,1.19,0.91,0.91,0.98,0.75,0.75
