home,away,liga,btts,over 2.5,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
Alajuelense,Santos,Costa Rica - Campeonato da Costa Rica,0%,50%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Silkeborg,SønderjyskE,Dinamarca - Campeonato Dinamarquês,50%,50%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Vejle,Randers,Dinamarca - Campeonato Dinamarquês,50%,50%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Viborg,Brøndby,Dinamarca - Campeonato Dinamarquês,50%,50%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Horsens,Fredericia,Dinamarca - 2ª Divisão da Dinamarca,25%,50%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Hillerød,Hobro,Dinamarca - 2ª Divisão da Dinamarca,25%,50%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Al,Al,Egito - Campeonato Egípcio,49%,43%,V V V D V,V D E D V,V V V E D,D E D D V,D D V E D,E D D V D,1.76,1.64,1.87,0.71,0.5,0.93,52,50,53,2.52,2.07,2.93,1.31,1.07,1.53,1.21,1,1.4,45,29,60,41,50,33,21,29,13,55,50,60,1.24,1.39,1.03,1.33,1.35,1.29,14,21,21,2.68,3,3,0.96,1.14,1.14,1.71,1.86,1.86,61,71,71,7,7,7,36,21,21,29,36,36,1.19,1.18,1.18,1.44,1.55,1.55
El,Zamalek,Egito - Campeonato Egípcio,49%,43%,D D E V D,V D V E D,D D E D D,E V V E V,E V V V D,V E D V V,0.63,1.07,0.25,1.73,2.08,1.38,10,21,0,1.83,1.64,2,0.53,0.71,0.38,1.3,0.93,1.63,33,36,31,33,50,19,57,43,69,17,29,6,0.97,0.97,0.97,1.64,1.46,1.78,50,38,38,2.54,2.38,2.38,1.54,1.23,1.23,1,1.15,1.15,58,54,54,31,23,23,19,31,31,54,31,31,1.65,1.67,1.67,1.33,1.49,1.49
Enppi,ZED,Egito - Campeonato Egípcio,49%,43%,D E E V E,E V V D D,D E E E V,D V D E E,D V E E D,D V V V E,1.45,1.53,1.36,1.52,1.29,1.77,38,40,36,2.14,2.07,2.21,1.17,1.2,1.14,0.97,0.87,1.07,41,47,36,38,40,36,38,33,43,38,47,29,1.36,1.33,1.39,1.42,1.41,1.43,37,46,46,2.26,2.15,2.15,1.33,1.31,1.31,0.93,0.85,0.85,48,54,54,30,31,31,37,31,31,44,38,38,1.5,1.34,1.34,1.29,1.36,1.36
Maribor,Domžale,Eslovênia - Campeonato da Eslovênia,0%,0%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Celje,Bravo,Eslovênia - Campeonato da Eslovênia,0%,0%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
