home,away,liga,data,hora,btts_liga,over_2.5_liga,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
Volna,Lida,Bielorrúsia - 2ª Divisão da Bielorrúsia,"Seg, 05 Agosto 2024",12:00,54%,53%,D V V V D,D V V V E,V D D V E,V D D E D,D D V V D,V D E V E,1.81,2,1.63,1.69,1.25,2.13,56%,63%,50%,3.19,3.13,3.25,1.81,1.88,1.75,1.38,1.25,1.5,56%,50%,63%,19%,38%,0%,25%,13%,38%,50%,63%,38%,1.37,1.29,1.47,1.31,1.08,1.63,50%,38%,63%,2.44,2.5,2.38,1.25,1,1.5,1.19,0.88,0.88,44%,50%,38%,44%,25%,63%,13%,25%,0%,69%,63%,75%,1.7,1.58,1.84,1.63,1.69,1.56
Real Santa Cruz,Club Aurora,Bolívia - Campeonato Boliviano,"Seg, 05 Agosto 2024",16:00,57%,53%,D E D D D,D D D D E,E D D D D,D E D V E,D V E V D,E D E E V,0.36,0.14,0.57,1.5,2.11,0.89,7%,0%,14%,2.86,3,2.71,0.79,0.86,0.71,2.07,2.14,2,57%,57%,57%,0%,0%,0%,43%,43%,43%,21%,29%,14%,1.16,1.34,0.98,1.88,1.48,2.28,39%,67%,11%,2.89,4,1.78,1.67,2.56,0.78,1.22,1,1,72%,89%,56%,17%,11%,22%,17%,0%,33%,61%,67%,56%,1.39,1.63,1.15,1.44,1.33,1.55
Blooming,Nacional Potosí,Bolívia - Campeonato Boliviano,"Seg, 05 Agosto 2024",21:00,57%,53%,D V D D V,V D V V V,D D D D E,V D E E D,V E V D V,D E D D D,1.63,2.33,0.71,1.29,2.13,0.56,50%,78%,14%,2.63,2.44,2.86,1.25,1.33,1.14,1.38,1.11,1.71,44%,33%,57%,31%,44%,14%,31%,22%,43%,38%,44%,29%,1.3,1.49,1.09,1.46,1.22,1.74,35%,63%,11%,2.53,2.25,2.78,1.18,1.5,0.89,1.35,1.89,1.89,59%,38%,78%,29%,50%,11%,18%,25%,11%,53%,63%,44%,1.56,1.77,1.37,1.56,1.38,1.72
Chapecoense,Mirassol,Brasil - Brasileirão Série B,"Seg, 05 Agosto 2024",18:30,45%,33%,D E D E V,E E D D E,D D V D V,V E V D V,V E V E V,V D E D D,1.06,1,1.1,1.61,2.56,0.67,22%,13%,30%,1.72,2.25,1.3,0.78,1.13,0.5,0.94,1.13,0.8,44%,75%,20%,28%,13%,40%,44%,25%,60%,39%,38%,40%,1.35,1.61,1.13,1.65,1.26,1.96,44%,78%,11%,1.78,1.78,1.78,1,1.44,0.56,0.78,1.22,1.22,28%,22%,33%,56%,78%,33%,39%,22%,56%,50%,78%,22%,1.28,1.37,1.18,1.34,1.2,1.48
Vila Nova,Paysandu,Brasil - Brasileirão Série B,"Seg, 05 Agosto 2024",21:00,45%,33%,E D E V V,E V V V V,E D V E D,D D V V E,D V V E E,D E V V D,1.61,2.56,0.67,1.28,1.56,1,44%,78%,11%,2.17,2.44,1.89,1.11,1.67,0.56,1.06,0.78,1.33,50%,56%,44%,28%,44%,11%,28%,0%,56%,56%,78%,33%,1.28,1.3,1.27,1.53,1.4,1.67,28%,33%,22%,2.22,2,2.44,1.11,1.11,1.11,1.11,1.33,1.33,61%,67%,56%,22%,33%,11%,28%,11%,44%,56%,89%,22%,1.41,1.41,1.42,1.34,1.32,1.37
Ferroviário,Sampaio Corrêa,Brasil - Brasileirão Série C,"Seg, 05 Agosto 2024",19:00,50%,43%,E E D D D,E D E V V,E D D D D,E D V D E,E V D V V,D E E D E,0.87,1.29,0.5,0.93,1.38,0.43,20%,29%,13%,2.73,2.57,2.88,0.87,1,0.75,1.87,1.57,2.13,53%,43%,63%,13%,29%,0%,40%,43%,38%,40%,43%,38%,1.11,1.36,0.88,1.57,1.41,1.7,20%,38%,0%,1.93,2.38,1.43,0.8,1.25,0.29,1.13,1.14,1.14,40%,63%,14%,20%,13%,29%,53%,25%,86%,13%,25%,0%,1.7,2.16,1.19,1.64,1.67,1.61
Remo,Aparecidense,Brasil - Brasileirão Série C,"Seg, 05 Agosto 2024",20:00,50%,43%,D V D V V,V V V D E,D D V D V,E E V D D,E E D E V,V D D E D,1.27,1.86,0.75,1,1.43,0.63,40%,57%,25%,2.6,1.71,3.38,1.13,1,1.25,1.47,0.71,2.13,60%,43%,75%,20%,43%,0%,27%,29%,25%,47%,57%,38%,1.48,1.78,1.21,1.61,1.16,2,20%,29%,13%,2.53,2.29,2.75,1.07,1.29,0.88,1.47,1.88,1.88,53%,71%,38%,27%,29%,25%,33%,14%,50%,40%,71%,13%,1.46,1.55,1.37,1.48,1.35,1.6
Botafogo-SP B,Barretos,Brasil - Copa Paulista,"Seg, 05 Agosto 2024",19:00,47%,34%,D E V E D,V D,D E E,D E D E D,D E E,E D D,1,1.5,0.67,0.5,0.67,0.33,20%,50%,0%,2,3.5,1,1,2,0.33,1,1.5,0.67,40%,50%,33%,40%,0%,67%,60%,50%,67%,0%,0%,0%,1.76,2.44,1.3,1.58,1.53,1.62,0%,0%,0%,2.67,1.67,3.67,1,0.67,1.33,1.67,2.33,2.33,67%,67%,67%,17%,33%,0%,33%,33%,33%,0%,0%,0%,1.65,1.69,1.62,1.59,1.48,1.7
Mirassol B,VOCEM,Brasil - Copa Paulista,"Seg, 05 Agosto 2024",19:00,47%,34%,E D E E D,E D,E D E,D V D E D,D E E,V D D,0.6,0.5,0.67,0.83,0.67,1,0%,0%,0%,2.8,3.5,2.33,1.2,1.5,1,1.6,2,1.33,80%,100%,67%,0%,0%,0%,20%,0%,33%,40%,0%,67%,1.63,1.76,1.51,1.5,1.7,1.31,17%,0%,33%,2,1,3,0.5,0.33,0.67,1.5,2.33,2.33,33%,33%,33%,17%,33%,0%,67%,67%,67%,0%,0%,0%,1.46,1.43,1.47,1.81,1.58,1.96
Bangu Sub-20,Nova Iguaçu Sub-20,Brasil - Campeonato Carioca Sub 20,"Seg, 05 Agosto 2024",10:00,53%,53%,V E E D D,E D D V,V E D V,V V V D D,V V E D,V D D D,1.38,1,1.75,1.25,1.75,0.75,38%,25%,50%,2.13,1.5,2.75,0.75,0.5,1,1.38,1,1.75,25%,0%,50%,38%,50%,25%,50%,75%,25%,25%,25%,25%,1.61,1.82,1.21,1.52,1.4,1.78,38%,50%,25%,2.63,2.25,3,1.13,1.5,0.75,1.5,2.25,2.25,50%,50%,50%,25%,50%,0%,38%,25%,50%,50%,50%,50%,1.36,1.47,1.25,1.61,1.5,1.73
Botev Vratsa,Beroe,Bulgária - Campeonato Búlgaro,"Seg, 05 Agosto 2024",15:15,37%,42%,D D,D,D,E V,E,V,0,0,0,2,1,3,0%,0%,0%,4,4,4,0.5,1,0,3.5,3,4,50%,100%,0%,0%,0%,0%,50%,0%,100%,0%,0%,0%,0.9,0.89,0.91,1.57,1.49,1.64,50%,0%,100%,0.5,0,1,0.5,0,1,0,0,0,0%,0%,0%,100%,100%,100%,50%,100%,0%,50%,0%,100%,1.6,1.84,1.35,0.94,0.84,1.04
Strumska slava,Botev Plovdiv II,Bulgária - 2ª Divisão da Bulgária,"Seg, 05 Agosto 2024",12:00,42%,38%,E D,,E D,V V,V,V,0.5,0,0.5,3,3,3,0%,0%,0%,2.5,0,2.5,0.5,0,0.5,2,0,2,50%,0%,50%,0%,0%,0%,50%,0%,50%,50%,0%,50%,0.16,0,0.66,1.45,0,1.95,100%,100%,100%,2,1,3,1.5,1,2,0.5,1,1,50%,0%,100%,50%,100%,0%,0%,0%,0%,100%,100%,100%,1.25,1.54,0.94,1.26,1.4,1.12
Ludogorets II,Dunav 2010,Bulgária - 2ª Divisão da Bulgária,"Seg, 05 Agosto 2024",13:00,42%,38%,V V,V,V,V V,V,V,3,3,3,3,3,3,100%,100%,100%,2.5,2,3,2,2,2,0.5,0,1,50%,0%,100%,50%,100%,0%,0%,0%,0%,100%,100%,100%,1.38,1.29,1.46,0.91,0.88,0.93,100%,100%,100%,4.5,2,7,3.5,2,5,1,2,2,50%,0%,100%,50%,100%,0%,0%,0%,0%,50%,100%,0%,1.66,2.19,1.12,0.91,0.61,1.21
HFX Wanderers FC,Vancouver FC,Canadá - Campeonato Canadense,"Seg, 05 Agosto 2024",16:00,56%,56%,D V D V V,V V E E D,D D V E D,D E D E V,D E D D E,E V E D V,0.93,1.29,0.57,1.25,1.33,1.14,21%,29%,14%,2.71,2.57,2.86,1.21,1.29,1.14,1.5,1.29,1.71,57%,71%,43%,21%,29%,14%,29%,14%,43%,21%,14%,29%,1.43,1.41,1.45,1.25,1.31,1.2,31%,33%,29%,2.94,2.44,3.57,1.25,1.11,1.43,1.69,2.14,2.14,56%,44%,71%,13%,22%,0%,38%,44%,29%,19%,11%,29%,1.23,1.36,1.06,1.52,1.41,1.65
Univ. Concepción,Deportes Limache,Chile - 2ª Divisão do Chile,"Seg, 05 Agosto 2024",19:00,52%,53%,E E E V E,E V E E V,E E E V D,V D D D E,V D E D E,D D E E V,1.26,1.67,0.9,1.53,1.2,1.89,32%,44%,20%,2.05,2.33,1.8,0.84,1.22,0.5,1.21,1.11,1.3,42%,56%,30%,32%,33%,30%,42%,22%,60%,37%,56%,20%,1.5,1.83,1.2,1.63,1.59,1.66,42%,30%,56%,2.89,2.5,3.33,1.63,1.2,2.11,1.26,1.22,1.22,53%,50%,56%,21%,20%,22%,26%,30%,22%,63%,60%,67%,1.56,1.63,1.49,1.71,1.62,1.82
Curicó Unido,Recoleta,Chile - 2ª Divisão do Chile,"Seg, 05 Agosto 2024",19:00,52%,53%,V D D D E,D V V E E,V D D E E,V E E D V,V E V E D,E D V D D,1.16,1.56,0.8,1.5,1.4,1.63,32%,44%,20%,2.47,1.56,3.3,1.05,0.89,1.2,1.42,0.67,2.1,53%,33%,70%,26%,56%,0%,32%,33%,30%,37%,44%,30%,1.66,1.84,1.51,1.52,1.26,1.73,44%,40%,50%,2.17,2.1,2.25,1.06,1,1.13,1.11,1.13,1.13,50%,50%,50%,28%,30%,25%,33%,40%,25%,39%,30%,50%,1.63,1.76,1.48,1.44,1.29,1.63
San Marcos,Antofagasta,Chile - 2ª Divisão do Chile,"Seg, 05 Agosto 2024",21:30,52%,53%,D V E E V,D E V E D,V E V V D,D E E D E,D E E V D,E D V E D,1.42,0.89,1.9,1.37,1.7,1,42%,22%,60%,2.47,2.67,2.3,1.32,1.11,1.5,1.16,1.56,0.8,47%,44%,50%,37%,33%,40%,26%,33%,20%,53%,44%,60%,1.64,1.7,1.59,1.65,1.47,1.81,37%,50%,22%,2.58,2.6,2.56,1.37,1.7,1,1.21,1.56,1.56,58%,60%,56%,21%,20%,22%,26%,20%,33%,42%,60%,22%,2.02,2.07,1.97,1.66,1.66,1.66
