home,away,liga,data,hora,btts,over 2.5,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
Luzern,Sion,Suíça - Campeonato Suíço,"Sáb, 03 Agosto 2024",15:30,69%,85%,E D,D,E,V V,V,V,0.5,0,1,3,3,3,0%,0%,0%,3.5,3,4,1.5,1,2,2,2,2,100%,100%,100%,0%,0%,0%,0%,0%,0%,50%,0%,100%,1.37,1.15,1.59,1.38,1.31,1.44,100%,100%,100%,3.5,4,3,3,4,2,0.5,1,1,50%,0%,100%,50%,100%,0%,0%,0%,0%,50%,100%,0%,1.57,1.73,1.4,1.36,0.88,1.85
Aarau,Neuchâtel Xamax,Suíça - 2ª Divisão da Suíça,"Sáb, 03 Agosto 2024",13:00,70%,70%,E D,D,E,D V,V,D,0.5,0,1,1.5,3,0,0%,0%,0%,4,4,4,1.5,1,2,2.5,3,2,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.16,1.19,1.13,1.75,1.5,1.99,50%,100%,0%,4.5,5,4,2,3,1,2.5,3,3,100%,100%,100%,0%,0%,0%,0%,0%,0%,50%,100%,0%,1.97,1.52,2.41,1.42,1.29,1.54
Bellinzona,Étoile Carouge,Suíça - 2ª Divisão da Suíça,"Sáb, 03 Agosto 2024",13:00,70%,70%,D V,V,D,V V,V,V,1.5,3,0,3,3,3,50%,100%,0%,3,3,3,1.5,2,1,1.5,1,2,100%,100%,100%,0%,0%,0%,0%,0%,0%,50%,0%,100%,1.45,1.72,1.17,1.09,0.83,1.34,100%,100%,100%,4.5,4,5,3,3,3,1.5,2,2,100%,100%,100%,0%,0%,0%,0%,0%,0%,50%,100%,0%,1.61,1.54,1.67,2.02,2.41,1.63
Veres Rivne,Karpaty,Ucrânia - Campeonato Ucraniano,"Sáb, 03 Agosto 2024",09:30,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Hirnyk,Chornomorets,Ucrânia - Campeonato Ucraniano,"Sáb, 03 Agosto 2024",12:00,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
UCV,Hermanos Colmenares,Venezuela - Campeonato Venezuelano,"Sáb, 03 Agosto 2024",18:45,53%,44%,E V D D V,V D V E E,E D E V E,D D E D D,D E E D V,D D D D D,1.76,1.82,1.7,1.14,1.09,1.2,43%,45%,40%,2.05,1.91,2.2,1.29,1.36,1.2,0.76,0.55,1,33%,27%,40%,62%,64%,60%,24%,27%,20%,52%,45%,60%,1.39,1.37,1.41,1.34,1.3,1.38,33%,27%,40%,2.33,2.36,2.3,0.9,0.91,0.9,1.43,1.4,1.4,48%,55%,40%,24%,27%,20%,29%,18%,40%,43%,36%,50%,1.38,1.55,1.17,1.7,1.49,1.96
Herentals,Kariba,Zimbábue - Campeonato do Zimbábue,"Sáb, 03 Agosto 2024",10:00,40%,27%,D D V V E,D E E V V,D V V E E,V E E E D,V E E V E,E E D E E,1.33,1.2,1.45,1.19,1.18,1.2,29%,30%,27%,1.81,2.3,1.36,0.9,1.1,0.73,0.9,1.2,0.64,52%,60%,45%,38%,20%,55%,29%,20%,36%,19%,20%,18%,1.49,1.58,1.45,1.98,2.39,1.77,19%,18%,20%,1.05,1.09,1,0.52,0.55,0.5,0.52,0.5,0.5,24%,18%,30%,62%,73%,50%,57%,64%,50%,29%,18%,40%,,,,,,
Chicken Inn,Manica Diamonds FC,Zimbábue - Campeonato do Zimbábue,"Sáb, 03 Agosto 2024",10:00,40%,27%,D V V E E,V E E E V,D V D D E,E E E D E,E E E V V,E D E E E,1.43,1.8,1.09,1.67,2,1.3,33%,40%,27%,1.57,1,2.09,0.81,0.8,0.82,0.76,0.2,1.27,29%,10%,45%,57%,90%,27%,48%,60%,36%,33%,30%,36%,1.34,1.29,1.43,1.2,0.94,1.62,43%,55%,30%,1.33,1.09,1.6,0.81,0.82,0.8,0.52,0.8,0.8,24%,9%,40%,67%,91%,40%,38%,36%,40%,48%,55%,40%,0.49,0,0.99,0.54,0,1.04
Ngezi Platinum,Green Fuel,Zimbábue - Campeonato do Zimbábue,"Sáb, 03 Agosto 2024",10:00,40%,27%,E E E V V,E V V V V,E E E V V,E V E D D,E E V E E,V D D D D,1.62,2.1,1.18,1.19,1.91,0.4,38%,60%,18%,1.81,2.1,1.55,1.1,1.4,0.82,0.71,0.7,0.73,38%,30%,45%,57%,60%,55%,33%,20%,45%,52%,70%,36%,1.73,1.06,2.39,1.25,0.92,1.58,29%,45%,10%,1.71,1.73,1.7,0.76,1.18,0.3,0.95,1.4,1.4,38%,55%,20%,29%,45%,10%,43%,18%,70%,38%,55%,20%,0.87,0,1.21,1.11,0,1.45
Simba Bhora,Yadah,Zimbábue - Campeonato do Zimbábue,"Sáb, 03 Agosto 2024",10:00,40%,27%,V V E V V,V V V V E,V E D V D,V E V E V,V V E V E,E D D V D,1.9,2.4,1.45,1.24,1.55,0.9,57%,70%,45%,2.1,1.8,2.36,1.29,1.4,1.18,0.81,0.4,1.18,48%,40%,55%,33%,60%,9%,24%,10%,36%,48%,60%,36%,0.76,0,1.26,1.05,0,1.55,29%,36%,20%,2.05,1.82,2.3,1.05,1.09,1,1,1.3,1.3,52%,55%,50%,24%,36%,10%,33%,27%,40%,38%,36%,40%,1.26,1.78,0.92,1.26,1.75,0.93
