home,away,liga,data,hora,btts_liga,over_2.5_liga,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
Unión Santa Fe,River Plate,Argentina - Campeonato Argentino,"Dom, 04 Agosto 2024",15:00,44%,33%,V D E V V,V V V V D,D E V E V,V D E D V,V E V V V,D D D V D,2.13,3,1.25,1.63,2.6,0,63%,100%,25%,1.63,1.75,1.5,1.13,1.5,0.75,0.5,0.25,0.75,38%,25%,50%,63%,75%,50%,13%,0%,25%,63%,75%,50%,1.57,1.97,1.17,1.16,0.98,1.34,50%,80%,0%,2.63,3,2,1.63,2.4,0.33,1,1.67,1.67,38%,40%,33%,38%,60%,0%,25%,0%,67%,63%,80%,33%,1.97,2.44,1.17,0.91,0.68,1.29
Sarmiento,Belgrano,Argentina - Campeonato Argentino,"Dom, 04 Agosto 2024",15:00,44%,33%,D V D V V,V V D D D,D D V E D,V D V E V,V V V V E,D E D V V,1.25,1.5,1,1.75,2.6,0.33,38%,50%,25%,2.13,1.75,2.5,1,1,1,1.13,0.75,1.5,38%,25%,50%,38%,50%,25%,25%,25%,25%,38%,50%,25%,1.13,1.46,0.8,1.7,1.37,2.03,50%,80%,0%,3.25,3.2,3.33,1.63,2,1,1.63,2.33,2.33,63%,60%,67%,25%,40%,0%,13%,0%,33%,50%,80%,0%,1.21,1.23,1.18,1.58,1.38,1.9
Boca Juniors,Barracas Central,Argentina - Campeonato Argentino,"Dom, 04 Agosto 2024",17:30,44%,33%,V E E V D,V V E V V,E E D V D,D E D D D,D D D E V,E D D V D,1.5,2.33,1,0.63,0.25,1,38%,67%,20%,2,1.33,2.4,1.25,1.33,1.2,0.75,0,1.2,25%,0%,40%,50%,100%,20%,50%,33%,60%,25%,67%,0%,1.1,1.06,1.12,1.25,1.15,1.31,13%,0%,25%,1.63,1.75,1.5,0.38,0.25,0.5,1.25,1,1,25%,25%,25%,25%,0%,50%,63%,75%,50%,25%,25%,25%,1.27,1.31,1.23,1.81,1.61,2.01
Atlético Tucumán,Independiente Rivadavia,Argentina - Campeonato Argentino,"Dom, 04 Agosto 2024",20:00,44%,33%,V V E E E,V E E V V,V E E D D,V E V D D,V V D E D,E D V V E,1.63,2,1.25,1.75,1.75,1.75,38%,50%,25%,1.75,1.5,2,1,1,1,0.75,0.5,1,50%,50%,50%,38%,50%,25%,13%,0%,25%,63%,75%,50%,1.54,1.63,1.44,1.33,1.24,1.42,50%,50%,50%,0.88,0.75,1,0.63,0.5,0.75,0.25,0.25,0.25,0%,0%,0%,75%,75%,75%,50%,50%,50%,50%,50%,50%,1.15,1.16,1.13,1.17,1.02,1.32
Lanús,Tigre,Argentina - Campeonato Argentino,"Dom, 04 Agosto 2024",20:00,44%,33%,D V E V E,V V V D D,D E E E D,V E V E D,V E E D D,V D E D D,1.5,2.25,0.75,1.13,1,1.33,38%,75%,0%,2.75,3,2.5,1.38,1.75,1,1.38,1.25,1.5,63%,50%,75%,13%,25%,0%,25%,25%,25%,75%,75%,75%,1.39,1.62,1.15,1.65,1.28,2.01,25%,20%,33%,2.5,2.4,2.67,1,0.8,1.33,1.5,1.33,1.33,63%,60%,67%,13%,0%,33%,25%,40%,0%,50%,40%,67%,1.31,1.49,1.02,1.42,1.33,1.58
San Telmo,Brown de Adrogué,Argentina - 2ª Divisão da Argentina,"Dom, 04 Agosto 2024",15:00,33%,28%,D E E V E,D E E E V,E V V V E,E D D E D,E D E E E,D D D D D,1.84,1.83,1.85,0.52,0.54,0.5,48%,50%,46%,1.8,2,1.62,1.28,1.42,1.15,0.52,0.58,0.46,36%,42%,31%,56%,50%,62%,32%,25%,38%,44%,50%,38%,1.3,1.35,1.24,1.37,1.38,1.36,4%,0%,8%,1.8,1.54,2.08,0.36,0.31,0.42,1.44,1.67,1.67,24%,15%,33%,32%,46%,17%,76%,85%,67%,16%,8%,25%,1.24,1.43,1.04,1.54,1.48,1.61
Deportivo Maipú,All Boys,Argentina - 2ª Divisão da Argentina,"Dom, 04 Agosto 2024",15:30,33%,28%,E V D V D,V V D V E,E D D V D,D D V D V,D V V V E,D D D D D,1.36,1.67,1.08,1.32,2,0.58,40%,50%,31%,2.04,1.75,2.31,0.88,0.83,0.92,1.16,0.92,1.38,40%,33%,46%,32%,42%,23%,32%,25%,38%,44%,50%,38%,1.4,1.62,1.2,1.58,1.42,1.72,32%,54%,8%,1.36,1.08,1.67,0.64,0.77,0.5,0.72,1.17,1.17,24%,15%,33%,52%,77%,25%,48%,38%,58%,44%,54%,33%,1.11,1.11,1.11,1.42,1.18,1.69
Alvarado,Racing Córdoba,Argentina - 2ª Divisão da Argentina,"Dom, 04 Agosto 2024",16:00,33%,28%,V D D D E,D D E V V,V D E D D,D V D V V,D V V D E,D V V E E,1.24,1.92,0.62,1.28,1.38,1.17,32%,58%,8%,1.88,1.83,1.92,0.8,1.08,0.54,1.08,0.75,1.38,32%,33%,31%,32%,50%,15%,52%,33%,69%,40%,58%,23%,1.45,1.47,1.44,1.49,1.4,1.57,32%,38%,25%,1.68,1.54,1.83,0.84,0.77,0.92,0.84,0.92,0.92,32%,31%,33%,44%,46%,42%,40%,31%,50%,56%,62%,50%,1.35,1.42,1.27,1.24,1.02,1.48
Gimnasia Jujuy,Tristán Suárez,Argentina - 2ª Divisão da Argentina,"Dom, 04 Agosto 2024",16:00,33%,28%,V E E V V,E V V D V,V E V D D,E V V D E,E V E V V,V D D V V,1.52,2.17,0.92,1.24,1.31,1.17,44%,67%,23%,1.64,1.67,1.62,0.92,1.25,0.62,0.72,0.42,1,32%,25%,38%,44%,58%,31%,32%,17%,46%,52%,75%,31%,1.18,1.39,0.97,1.3,1.24,1.36,32%,31%,33%,2.32,2.08,2.58,1.08,1,1.17,1.24,1.42,1.42,56%,54%,58%,16%,23%,8%,32%,31%,33%,32%,38%,25%,1.32,1.37,1.28,1.35,1.31,1.38
Defensores de Belgrano,Chacarita Juniors,Argentina - 2ª Divisão da Argentina,"Dom, 04 Agosto 2024",19:10,33%,28%,D V E E E,V E D V D,D E E D E,E D D D E,E D E V E,D D V V D,1.56,1.5,1.62,1.24,1.31,1.17,44%,42%,46%,1.84,1.42,2.23,1.12,0.83,1.38,0.72,0.58,0.85,16%,8%,23%,60%,67%,54%,44%,50%,38%,48%,50%,46%,1.25,1.27,1.24,1.29,1.19,1.38,32%,31%,33%,2.28,2.54,2,1.08,1.15,1,1.2,1,1,48%,62%,33%,36%,23%,50%,24%,15%,33%,48%,54%,42%,1.1,1.07,1.14,1.13,1.12,1.13
Deportivo Laferrere,Villa San Carlos,Argentina - Prim B Metro,"Dom, 04 Agosto 2024",15:00,42%,34%,E E V E D,E E E D E,E V D V D,D E E V E,D E E D E,E V D D E,1.21,1.36,1.07,0.86,1.29,0.43,25%,29%,21%,2.25,1.93,2.57,1.04,1,1.07,1.21,0.93,1.5,57%,50%,64%,32%,36%,29%,21%,29%,14%,43%,36%,50%,1.33,1.5,1.17,1.29,1.15,1.43,18%,29%,7%,2.11,2.43,1.79,0.89,1.36,0.43,1.21,1.36,1.36,39%,43%,36%,21%,29%,14%,54%,43%,64%,36%,43%,29%,1.28,1.46,1.11,1.41,1.3,1.52
Midland,Liniers,Argentina - Prim B Metro,"Dom, 04 Agosto 2024",15:00,42%,34%,E D V E V,D E V V V,E V E E E,V E D V V,V D V E V,E V E E D,1.64,1.86,1.43,1.11,1.43,0.79,43%,57%,29%,2,2.14,1.86,1.21,1.43,1,0.79,0.71,0.86,43%,29%,57%,43%,50%,36%,32%,36%,29%,57%,64%,50%,1.43,1.59,1.28,1.29,1.21,1.36,29%,43%,14%,1.5,1.79,1.21,0.71,1,0.43,0.79,0.79,0.79,21%,21%,21%,43%,43%,43%,54%,43%,64%,25%,36%,14%,1.12,1.31,0.93,1.29,1.26,1.32
Villa Dálmine,San Martín Burzaco,Argentina - Prim B Metro,"Dom, 04 Agosto 2024",15:00,42%,34%,D V D D D,V D E E E,D D D D V,D D V D E,D D E V E,D V E D D,0.86,1.14,0.57,1.07,1.64,0.5,14%,21%,7%,1.39,1.5,1.29,0.46,0.64,0.29,0.93,0.86,1,25%,36%,14%,36%,43%,29%,61%,43%,79%,21%,29%,14%,1.14,1.29,1,1.29,1.14,1.44,25%,43%,7%,1.68,1.36,2,0.68,0.79,0.57,1,1.43,1.43,43%,36%,50%,32%,57%,7%,39%,29%,50%,43%,64%,21%,1.43,1.53,1.33,1.42,1.32,1.52
Acassuso,UAI Urquiza,Argentina - Prim B Metro,"Dom, 04 Agosto 2024",15:00,42%,34%,E D E D D,D D D D D,E E D E V,V D D V V,V V V E E,D D V E D,1.04,1.07,1,1.11,1.57,0.64,25%,29%,21%,1.86,2.07,1.64,0.68,0.79,0.57,1.18,1.29,1.07,36%,36%,36%,39%,36%,43%,46%,43%,50%,25%,21%,29%,1.29,1.48,1.1,1.29,1.28,1.3,25%,36%,14%,2.21,1.79,2.64,0.93,1,0.86,1.29,1.79,1.79,54%,50%,57%,21%,36%,7%,32%,29%,36%,36%,36%,36%,1.16,1.17,1.15,1.37,1.28,1.47
Los Andes,Argentino Merlo,Argentina - Prim B Metro,"Dom, 04 Agosto 2024",15:05,42%,34%,D D D E E,D E E V V,D D E V V,D E V V E,D V E V V,E V V D V,1.86,2.21,1.5,1.39,1.5,1.29,54%,64%,43%,2,1.86,2.14,1.21,1.29,1.14,0.79,0.57,1,39%,36%,43%,54%,57%,50%,18%,21%,14%,64%,71%,57%,1.41,1.4,1.41,1.36,1.25,1.49,36%,43%,29%,2.07,2.86,1.29,1.11,1.57,0.64,0.96,0.64,0.64,39%,50%,29%,39%,29%,50%,39%,29%,50%,43%,43%,43%,1.3,1.35,1.24,1.5,1.32,1.68
Deportivo Santamarina,Deportivo Camioneros,Argentina - Torneo Federal A,"Dom, 04 Agosto 2024",11:00,37%,28%,D V V V V,V V V E V,D V V E D,E D D E V,E D V V V,D E E V V,1.4,2,0.8,1.4,1.4,1.4,35%,50%,20%,2.15,2.3,2,1.2,1.7,0.7,0.95,0.6,1.3,40%,50%,30%,35%,50%,20%,45%,30%,60%,45%,70%,20%,1.32,1.3,1.33,1.34,1.31,1.37,35%,40%,30%,1.8,1.9,1.7,1.05,1.1,1,0.75,0.7,0.7,35%,30%,40%,40%,40%,40%,40%,50%,30%,50%,50%,50%,1.47,1.73,1.19,1.32,1.29,1.35
Sol de Mayo,Deportivo Rincón,Argentina - Torneo Federal A,"Dom, 04 Agosto 2024",15:00,37%,28%,E V E D V,V E V D V,E D V D D,V V E E D,V E V V D,V E D D D,1.25,2,0.5,1.3,2.1,0.5,35%,60%,10%,2.6,2.6,2.6,1.05,1.6,0.5,1.55,1,2.1,40%,50%,30%,20%,30%,10%,40%,20%,60%,40%,60%,20%,1.44,1.64,1.22,1.6,1.36,1.87,35%,60%,10%,1.75,1.7,1.8,0.85,1.2,0.5,0.9,1.3,1.3,25%,30%,20%,50%,70%,30%,40%,10%,70%,50%,80%,20%,1.01,0,1.15,1.81,0,1.95
Independiente Chivilcoy,Unión Sunchales,Argentina - Torneo Federal A,"Dom, 04 Agosto 2024",15:00,37%,28%,E V E D E,V E E V D,E D D E E,E V E V E,E V V E D,E E V D D,1.28,1.56,1,1,1.3,0.63,28%,44%,11%,1.5,2.22,0.78,0.78,1.22,0.33,0.72,1,0.44,28%,33%,22%,56%,44%,67%,56%,44%,67%,33%,33%,33%,1.55,1.95,1.16,1.39,1.16,1.62,22%,30%,13%,2.28,2.7,1.75,0.89,1.4,0.25,1.39,1.5,1.5,39%,60%,13%,33%,30%,38%,50%,30%,75%,22%,30%,13%,1.17,1.36,0.93,1.42,1.22,1.67
Douglas Haig,Sarmiento Resistencia,Argentina - Torneo Federal A,"Dom, 04 Agosto 2024",15:00,37%,28%,V V E E D,V E D V E,V E D V D,E E E E D,E E D D E,E E D D D,1.29,1.25,1.33,0.83,1.22,0.44,29%,25%,33%,1.71,1,2.33,0.94,0.63,1.22,0.76,0.38,1.11,29%,13%,44%,47%,63%,33%,41%,63%,22%,35%,25%,44%,1.44,1.46,1.42,1.43,1.1,1.72,11%,22%,0%,1.22,1.22,1.22,0.44,0.67,0.22,0.78,1,1,28%,33%,22%,33%,44%,22%,67%,56%,78%,28%,33%,22%,1.26,1.54,0.98,1.46,1.33,1.59
Cipolletti,Estudiantes de San Luis,Argentina - Torneo Federal A,"Dom, 04 Agosto 2024",15:30,37%,28%,E E E D D,E D V E E,E E D D E,E V D D D,E D V D E,V D D D D,0.95,1.44,0.5,0.9,1.1,0.7,16%,33%,0%,1.47,1.11,1.8,0.58,0.67,0.5,0.89,0.44,1.3,37%,22%,50%,32%,56%,10%,53%,56%,50%,42%,44%,40%,1.3,1.75,0.91,1.56,1.48,1.63,20%,20%,20%,2.45,2.4,2.5,1,1.2,0.8,1.45,1.7,1.7,65%,80%,50%,10%,0%,20%,30%,20%,40%,35%,40%,30%,1.25,1.27,1.23,1.35,1,1.67
Boca Unidos,Juventud Antoniana,Argentina - Torneo Federal A,"Dom, 04 Agosto 2024",15:30,37%,28%,E V V E D,V E V D D,E V D D D,V D D D V,V D V V V,D D D D E,1,1.44,0.56,1.22,2.22,0.22,22%,33%,11%,1.94,1.56,2.33,0.83,0.89,0.78,1.11,0.67,1.56,44%,33%,56%,28%,44%,11%,44%,44%,44%,28%,33%,22%,1.56,1.81,1.32,1.45,1.33,1.58,33%,67%,0%,1.94,2.11,1.78,0.89,1.56,0.22,1.06,1.56,1.56,28%,44%,11%,39%,56%,22%,50%,11%,89%,44%,78%,11%,1.19,1.43,0.96,1.49,1.12,1.85
9 de Julio Rafaela,San Martín Formosa,Argentina - Torneo Federal A,"Dom, 04 Agosto 2024",15:30,37%,28%,D E V V V,V V D V E,D E V E E,V V D D E,V D E V E,V D V V E,1.53,2,1.11,1.72,2.22,1.22,41%,63%,22%,2.12,2.25,2,1.18,1.5,0.89,0.94,0.75,1.11,47%,38%,56%,29%,38%,22%,35%,38%,33%,41%,50%,33%,1.72,2.01,1.46,1.59,1.47,1.69,50%,67%,33%,2.06,2.33,1.78,1.28,1.67,0.89,0.78,0.89,0.89,33%,44%,22%,44%,56%,33%,33%,11%,56%,44%,56%,33%,1.42,1.55,1.29,1.32,1.27,1.37
Sportivo Las Parejas,Sportivo Belgrano,Argentina - Torneo Federal A,"Dom, 04 Agosto 2024",15:30,37%,28%,D V D V D,V V D E E,D D D V E,V E E V V,V E V V E,E V V E D,1.44,1.67,1.22,1.88,2.33,1.38,39%,44%,33%,2,2.44,1.56,1.17,1.56,0.78,0.83,0.89,0.78,44%,67%,22%,28%,22%,33%,39%,22%,56%,39%,44%,33%,1.46,1.72,1.2,1.41,1.4,1.41,53%,67%,38%,1.12,1.11,1.13,0.82,0.89,0.75,0.29,0.38,0.38,12%,22%,0%,71%,78%,63%,35%,11%,63%,65%,89%,38%,1.18,1.33,1.01,1.44,1.43,1.45
El Linqueño,Crucero del Norte,Argentina - Torneo Federal A,"Dom, 04 Agosto 2024",15:30,37%,28%,D E D D V,E D E D V,D D V D V,E D D E D,E E D D E,D D D D E,1.28,1.44,1.11,0.89,1.22,0.56,33%,33%,33%,1.56,1.44,1.67,0.78,0.89,0.67,0.78,0.56,1,22%,11%,33%,56%,67%,44%,44%,56%,33%,39%,44%,33%,1.18,1.23,1.13,1.31,0.99,1.63,17%,22%,11%,1.83,1.11,2.56,0.61,0.56,0.67,1.22,1.89,1.89,33%,22%,44%,44%,67%,22%,50%,56%,44%,28%,33%,22%,1.33,1.46,1.21,1.27,1.1,1.45
Olimpo,Argentino Monte Maíz,Argentina - Torneo Federal A,"Dom, 04 Agosto 2024",15:30,37%,28%,V E V E V,V V V E V,V E E E V,V D V V V,V V V V E,D V D D D,2.05,2.22,1.9,1.65,2.1,1.2,58%,67%,50%,1.68,1.78,1.6,1.16,1.33,1,0.53,0.44,0.6,37%,33%,40%,58%,56%,60%,21%,11%,30%,53%,78%,30%,1.6,1.83,1.37,1.34,1.12,1.56,45%,60%,30%,1.65,2,1.3,0.95,1.3,0.6,0.7,0.7,0.7,35%,40%,30%,50%,60%,40%,35%,10%,60%,40%,60%,20%,1.45,1.62,1.28,1.52,1.21,1.84
Def. de Pronunciamiento,Gimnasia Concepción,Argentina - Torneo Federal A,"Dom, 04 Agosto 2024",15:30,37%,28%,E D E V D,D V D D E,E E D D D,D E D V E,E V D E D,D D E V D,0.78,1.22,0.33,0.65,0.75,0.56,17%,33%,0%,2.44,2.22,2.67,0.67,0.78,0.56,1.78,1.44,2.11,44%,33%,56%,11%,22%,0%,50%,56%,44%,22%,33%,11%,1.31,1.42,1.19,1.65,1.47,1.84,12%,13%,11%,2.06,1.38,2.67,0.59,0.5,0.67,1.47,2,2,47%,38%,56%,18%,25%,11%,41%,50%,33%,41%,50%,33%,1.42,1.45,1.38,1.44,1.19,1.67
Ciudad de Bolívar,Kimberley Mar del Plata,Argentina - Torneo Federal A,"Dom, 04 Agosto 2024",15:30,37%,28%,D V V D V,V V V D V,D D V D D,V E V D E,V E E E V,V D E V E,1.75,2.7,0.8,1.47,1.7,1.22,55%,90%,20%,1.9,1.8,2,1.2,1.4,1,0.7,0.4,1,35%,30%,40%,40%,60%,20%,25%,10%,40%,60%,80%,40%,1.3,1.51,1.05,1.32,1.07,1.6,32%,40%,22%,1.47,1.4,1.56,0.89,1,0.78,0.58,0.78,0.78,37%,30%,44%,58%,60%,56%,32%,30%,33%,32%,50%,11%,1.43,1.53,1.28,1.28,1.17,1.45
Sol de América,Atenas,Argentina - Torneo Federal A,"Dom, 04 Agosto 2024",15:30,37%,28%,E D V V E,D V V V V,E V E E E,V D D V V,V V E V V,D D V D D,1.61,2.33,0.89,1.5,2.3,0.7,44%,78%,11%,1.78,2,1.56,0.94,1.33,0.56,0.83,0.67,1,33%,33%,33%,44%,44%,44%,44%,22%,67%,50%,78%,22%,1.28,1.33,1.24,1.34,1.16,1.49,45%,70%,20%,2.15,2.3,2,1.15,1.6,0.7,1,1.3,1.3,35%,40%,30%,35%,50%,20%,35%,10%,60%,50%,70%,30%,1.55,1.82,1.28,1.46,1.5,1.43
Juventud Unida Univ.,Huracán Las Heras,Argentina - Torneo Federal A,"Dom, 04 Agosto 2024",15:45,37%,28%,D D D V D,D D D V D,D V V V D,E E V E D,E V D V D,E E D D E,1.15,1.2,1.1,1.21,1.5,0.89,30%,30%,30%,1.65,1.3,2,0.65,0.6,0.7,1,0.7,1.3,25%,20%,30%,40%,50%,30%,50%,50%,50%,40%,40%,40%,1.37,1.25,1.49,1.35,0.95,1.8,26%,40%,11%,1.63,1.6,1.67,0.74,0.8,0.67,0.89,1,1,42%,30%,56%,42%,50%,33%,42%,50%,33%,32%,40%,22%,1.41,1.62,1.18,1.35,1.14,1.59
Central Norte,Defensores Belgrano VR,Argentina - Torneo Federal A,"Dom, 04 Agosto 2024",17:00,37%,28%,D V D V V,V V V E V,D D V V V,E D E E E,E E E V E,D E E E V,2.06,2.56,1.56,1.67,1.89,1.44,61%,78%,44%,2.11,2.11,2.11,1.44,1.67,1.22,0.67,0.44,0.89,44%,33%,56%,56%,67%,44%,6%,0%,11%,78%,78%,78%,1.54,1.82,1.23,1.18,0.94,1.44,39%,44%,33%,1.67,1.78,1.56,1.11,1.33,0.89,0.56,0.67,0.67,39%,44%,33%,56%,56%,56%,28%,11%,44%,50%,67%,33%,1.48,1.65,1.31,1.15,0.98,1.32
